"scale_views" "num_factor" "spikeslab_weights" "mean_sil_score" "min_sil_score" "max_sil_score" "dunn" "mofa_knn_acc" "mofa_knn_acc_bal" "mofa_rmse" "time_integration" "imputation_time"
"elapsed18" TRUE 15 FALSE 0.450082742623497 -0.256725945739089 0.964110060169407 1.19794015298787e-05 0.902511961722488 0.847661824727408 0.885713411840338 110.366 0.180000000000291
"elapsed19" FALSE 15 FALSE 0.444194768115111 -0.313465989693332 0.963712576403063 4.8666316939625e-05 0.90011961722488 0.852438531050982 0.885419371477762 102.469999999999 0.174000000000888
"elapsed20" TRUE 20 FALSE 0.447999466908805 -0.214647396064037 0.979780868102883 0.000167801214696863 0.8957336523126 0.846845142901722 0.877547499938448 155.224 0.176000000001295
"elapsed21" FALSE 20 FALSE 0.43322841508131 -0.203687288914146 0.967022720079772 0.000101276515933051 0.888556618819777 0.840431322865718 0.875332823957946 156.402 0.179000000000087
"elapsed22" TRUE 30 FALSE 0.426431929016577 -0.387272786699546 0.970369922409774 0.000101896661230325 0.889952153110048 0.852247373335086 0.873698943142399 192.222 0.191999999999098
"elapsed23" FALSE 30 FALSE 0.43135920150589 -0.366691045391528 0.970673808606628 7.8889939286283e-05 0.878588516746411 0.849671551976442 0.873199140973171 200.487999999999 0.183999999999287
"elapsed24" TRUE 40 FALSE 0.423355027074617 -0.220637229807249 0.975590616648713 0.00012872933194818 0.876794258373206 0.845695033757468 0.873358626667914 262.104000000001 0.191999999999098
"elapsed25" FALSE 40 FALSE 0.412657553408303 -0.345621244739038 0.960620241988504 6.84467236237746e-05 0.889553429027113 0.853126802478625 0.873204852465427 231.641 0.204999999999927
"elapsed26" TRUE 50 FALSE 0.420991736880612 -0.207188919620202 0.94739971954514 0.000102927299730605 0.879784688995215 0.842288224376328 0.873352836880638 320.116 0.222999999999956
"elapsed27" FALSE 50 FALSE 0.424810651494103 -0.274602784026964 0.981549435122565 2.71442677679284e-05 0.881379585326954 0.84691793102827 0.873187989456697 319.579 0.220999999999549
"elapsed28" TRUE 60 FALSE 0.41964507700237 -0.221275230934548 0.948764916510637 6.48196829537347e-05 0.879585326953748 0.841342626420276 0.873131412123984 386.254999999999 0.213999999999942
"elapsed29" FALSE 60 FALSE 0.427412420487882 -0.244126123939701 0.967767792061944 2.5170247040733e-05 0.881180223285486 0.857318380033528 0.873243090052881 310.780999999999 0.228000000000975
"elapsed30" TRUE 70 FALSE 0.400084666314496 -0.346068835053283 0.956165827797095 8.63235129332106e-05 0.880382775119617 0.839776393523754 0.873552357518402 442.942999999999 0.210999999999331
"elapsed31" FALSE 70 FALSE 0.431028572463955 -0.259749717078594 0.980829144683129 9.55932585737271e-05 0.887161084529506 0.854453462684241 0.87326575728159 394.457 0.22400000000016
